Comp ID,Date,Name,Sanction #,State,Results,Homepage
competitions-view?id=380,04/17/2014,IPF World Master Bench - Northumberland- Great Britain,,,,
competitions-view?id=381,04/12/2014,2014 Equinox Open,MD-2014-01,Maryland,,
competitions-view?id=387,04/12/2014,THE BATTLE OF THE GREAT LAKES XVII,OH-2014-01,Ohio,,
competitions-view?id=344,04/11/2014,2014 USAPL Collegiate Nationals,NS-2014-03,Florida,,
competitions-view?id=377,04/05/2014,USAPL Georgia Spring Open,GA-2014-02,Georgia,,
competitions-view?id=335,03/28/2014,2014 HS Nationals-JV,NS-2014-02,Texas,,
competitions-view?id=336,03/28/2014,2014 HS Nationals-varsity,NS-2014-02,Texas,,
competitions-view?id=358,03/22/2014,CAJUN PRIDE,LA-2014-06,Louisiana,,
competitions-view?id=384,03/22/2014,USAPL Battle on the Border VIII,NC-2014-01,North Carolina,,
competitions-view?id=349,03/15/2014,32nd Annual USAPL Florida State Powerlifting Championships,FL-2014-01,Florida,,
competitions-view?id=371,03/15/2014,The Brother Bennett Memorial Powerlifting Meet,MS-2014-01,Mississippi,,
competitions-view?id=374,03/15/2014,USAPL Alabama State Powerlifting Championship,AL-2014-01,Alabama,,
competitions-view?id=340,03/14/2014,2014 South Dakota State Bench Press & Powerlifting Championships,SD-2014-01,South Dakota,,
competitions-view?id=382,03/14/2014,2014 USAPL Military National Powerlifting Championships,NS-2014-08,Texas,,
competitions-view?id=337,03/09/2014,2014 Last Chance Qualifier,CO-2014-02,Colorado,,
competitions-view?id=350,03/09/2014,4th Annual Ryan Moore New England High School Championships,MA-2014-06,Massachusetts,,
competitions-view?id=361,03/09/2014,Gulf Coast Championships,TX-2014-01,Texas,,
competitions-view?id=347,03/08/2014,2014 Wisconsin High School State Championships,WI-2014-02,Wisconsin,,
competitions-view?id=348,03/08/2014,2014 WOODWARD ACADEMY INVITATIONAL,IA-2014-01,Iowa,,
competitions-view?id=359,03/08/2014,Covington Qualifier,LA-2014-05,Louisiana,,
competitions-view?id=372,03/08/2014,The Guerilla Fitness Raw Nationals Qualifier,NJ-2014-01,New Jersey,,
competitions-view?id=376,03/08/2014,USAPL Georgia High School State Championships,GA-2014-05,Georgia,,
competitions-view?id=352,02/28/2014,Arnold,USAPL-2014-01,Ohio,,
competitions-view?id=353,02/28/2014,Arnold - GNC Pro Deadlift,USAPL-2014-01,Ohio,,
competitions-view?id=354,02/28/2014,Arnold - Ohio Invitational Ironman,USAPL-2014-01,Ohio,,
competitions-view?id=355,02/28/2014,Arnold - Titan Pro Bench,USAPL-2014-01,Ohio,,
competitions-view?id=356,02/28/2014,Arnold 2014-Pro Equipped,USAPL-2014-01,Ohio,,
competitions-view?id=357,02/28/2014,Arnold 2014-Raw Challenge,USAPL-2014-01,Ohio,,
competitions-view?id=369,02/28/2014,Arnold - SSP  Nutrition Pro Raw Benchpress -,USAPL-2014-01,Ohio,,
competitions-view?id=342,02/22/2014,2014 USAPL Aggie Showdown,TX-2014-02,Texas,,
competitions-view?id=346,02/22/2014,2014 Whitehall USAPL High School Meet,WI-2014-03,Wisconsin,,
competitions-view?id=351,02/22/2014,Albany Strength USAPL POWERLIFTING CHAMPIONSHIP,NY-2014-02,New York,,
competitions-view?id=373,02/22/2014,USA Powerlifting Frostbite Classic,AK-2014-01,Alaska,,
competitions-view?id=378,02/22/2014,Winter Classic,MA-2014-05,Massachusetts,,
competitions-view?id=383,02/22/2014,2014 Washington State Championships,WA-2014-02,Washington,,
competitions-view?id=362,02/21/2014,LaTech Collegiate Qualifer,LA-2014-02,Louisiana,,
competitions-view?id=334,02/15/2014,2014 South Dakota High School Qualifier,SD-2014-02,South Dakota,,
competitions-view?id=343,02/15/2014,2014 USAPL California State Championships,CA-2014-02,California,,
competitions-view?id=366,02/15/2014,Northeast Collegiate Conference Championship,PA-2014-04,Pennsylvania,,
