Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Kiara Pereira,-63,lifters-view?id=16331,5.,Kiara Pereira,1998,,CT,60.70,80,90,95,-52.5,-60,-60,90,-100,,0,0.00,
LeeAnn Hewitt,84+,lifters-view?id=14292,1.,LeeAnn Hewitt,1999,,FL,148.80,205,222.5,240,92.5,102.5,107.5,185,200,212.5,560,431.31,
Allie Perry,84+,lifters-view?id=14787,1.,Allie Perry,2000,,OH,94.80,92.5,102.5,110,50,55,-57.5,107.5,-117.5,127.5,292.5,247.75,
Tam Nguyen,-43,lifters-view?id=24776,1.,Tam Nguyen,1995,,IN,43.00,70,77.5,80,35,40.5,42.5,95,100,107.5,230,328.79,
Nathalie Sanchez,-47,lifters-view?id=25144,1.,Nathalie Sanchez,1994,,TX,47.00,-90,90,92.5,45,47.5,50,107.5,112.5,122.5,265,356.40,
Sarah Cruz-Ortiz,-47,lifters-view?id=3395,2.,Sarah Cruz-Ortiz,1994,,PA,46.10,75,-80,80,47.5,50,-55,122.5,127.5,-135,257.5,351.13,
Jennifer Lotz,-47,lifters-view?id=23042,3.,Jennifer Lotz,1993,,FL,46.10,82.5,85,92.5,47.5,50,52.5,97.5,102.5,110,255,347.72,
Victoria Vargas,-52,lifters-view?id=481,1.,Victoria Vargas,1994,,TX,51.50,110,117.5,122.5,70,77.5,-82.5,140,145,150,350,439.60,
Kate Cohen,-52,lifters-view?id=10496,4.,Kate Cohen,1992,,NJ,49.90,97.5,105,115,60,65,-67.5,142.5,152.5,-160,332.5,427.79,
Tonia Wang,-52,lifters-view?id=17645,4.,Tonia Wang,1992,,MD,51.40,100,-107.5,-107.5,50,52.5,55,122.5,135,137.5,292.5,367.91,
Maranda Geist,-52,lifters-view?id=23120,5.,Maranda Geist,1993,,CA,50.70,92.5,97.5,102.5,50,55,60,100,107.5,117.5,280,355.91,
Miranda Lovett,-52,lifters-view?id=18047,15.,Miranda Lovett,1994,,RI,50.90,80,87.5,92.5,45,50,-52.5,122.5,132.5,-137.5,275,348.51,
Kaila Cantillas,-52,lifters-view?id=23275,17.,Kaila Cantillas,1991,,OH,49.80,77.5,82.5,87.5,47.5,50,55,105,112.5,120,262.5,338.23,
Amanda Feist,-52,lifters-view?id=17573,8.,Amanda Feist,,,NM,50.50,80,85,-87.5,42.5,45,47.5,120,127.5,-140,260,331.50,
Tiffany Rohrer,-52,lifters-view?id=4900,18.,Tiffany Rohrer,1994,,MD,50.10,87.5,92.5,-100,47.5,52.5,55,97.5,107.5,-112.5,255,327.09,
Taylor Coghlan,-52,lifters-view?id=23456,11.,Taylor Coghlan,,,OH,49.70,75,85,-90,47.5,52.5,-57.5,105,-117.5,-117.5,242.5,312.95,
Jordan Behrens,-52,lifters-view?id=24213,12.,Jordan Behrens,1993,,PA,50.80,67.5,72.5,77.5,45,50,-52.5,100,110,115,242.5,307.78,
Kelly Lin,-57,lifters-view?id=8074,4.,Kelly Lin,1992,,CA,54.70,140,147.5,150,82.5,87.5,-90,142.5,-152.5,-155,380,455.43,
Beverly DiPiero,-57,lifters-view?id=14278,2.,Beverly DiPiero,1994,,FL,56.40,110,117.5,120,62.5,67.5,-70,140,147.5,155,342.5,400.76,
Gabrielle Mamani,-57,lifters-view?id=25168,10.,Gabrielle Mamani,1994,,VA,55.90,110,-115,115,-57.5,-62.5,62.5,152.5,162.5,-170,340,400.62,
Alee Douglass,-57,lifters-view?id=12747,12.,Alee Douglass,,,FL,56.50,105,117.5,-125,57.5,62.5,67.5,150,-165,-165,335,391.41,
Ruby Liu,-57,lifters-view?id=23790,19.,Ruby Liu,1992,,NJ,56.50,92.5,102.5,107.5,52.5,55,-62.5,132.5,140,-147.5,302.5,353.44,
Mary Clark,-57,lifters-view?id=10307,6.,Mary Clark,1994,,CA,54.70,87.5,92.5,95,57.5,62.5,65,120,130,140,300,359.55,
Tessia De Mattos,-57,lifters-view?id=13924,7.,Tessia De Mattos,1993,,NY,54.90,105,112.5,-115,47.5,52.5,55,112.5,120,127.5,295,352.53,
Lauren Walton,-57,lifters-view?id=17254,23.,Lauren Walton,1992,,AK,56.70,90,97.5,105,-52.5,52.5,57.5,112.5,120,127.5,290,337.91,
Sierra Barner,-57,lifters-view?id=24268,25.,Sierra Barner,1993,,PA,56.00,85,92.5,100,52.5,55,57.5,120,127.5,130,287.5,338.27,
Emily Notini,-57,lifters-view?id=15562,10.,Emily Notini,1991,,RI,54.20,92.5,95,-97.5,45,-50,-50,117.5,122.5,-130,262.5,316.86,
Amber Waddell,-57,lifters-view?id=24438,11.,Amber Waddell,,,PA,56.30,-75,-75,-75,47.5,-55,-57.5,127.5,142.5,147.5,0,0.00,
Victoria Liang,-63,lifters-view?id=17129,2.,Victoria Liang,1993,,OH,62.30,142.5,150,155,-87.5,87.5,92.5,165,177.5,185,432.5,468.44,
Alice Zheng,-63,lifters-view?id=2051,4.,Alice Zheng,1992,,NJ,62.50,137.5,145,147.5,72.5,77.5,-80,160,167.5,-175,392.5,424.10,
Jennylyn Carrasco,-63,lifters-view?id=16438,3.,Jennylyn Carrasco,1991,,TX,61.00,-130,-130,130,77.5,80,82.5,155,162.5,-167.5,375,412.76,
Paige Hubbard,-63,lifters-view?id=14257,4.,Paige Hubbard,1992,,NV,60.60,120,125,130,75,-82.5,-82.5,140,150,155,360,398.27,
Chelsea Zimmerman,-63,lifters-view?id=16991,18.,Chelsea Zimmerman,1991,,PA,61.30,132.5,-140,-140,67.5,72.5,-75,135,145,-155,350,383.81,
Brittany Cauossa,-63,lifters-view?id=25175,19.,Brittany Cauossa,,,NY,61.70,125,-130,-130,62.5,-67.5,-67.5,145,155,162.5,350,381.89,
Morgan Bertzyk,-63,lifters-view?id=13987,7.,Morgan Bertzyk,1993,,WI,62.30,117.5,-125,125,57.5,-62.5,62.5,137.5,145,155,342.5,370.96,
Autumn Herried,-63,lifters-view?id=2158,8.,Autumn Herried,1995,,WI,61.70,122.5,127.5,-132.5,65,70,-75,122.5,132.5,142.5,340,370.97,
Perrish Dragovits,-63,lifters-view?id=12423,9.,Perrish Dragovits,1995,,MS,62.30,127.5,-140,-140,62.5,-67.5,-67.5,135,150,-162.5,340,368.25,
Celina Romera,-63,lifters-view?id=3451,10.,Celina Romera,1993,,FL,60.50,117.5,-122.5,-122.5,72.5,-75,-75,140,147.5,-150,337.5,373.88,
Carrie Allen,-63,lifters-view?id=24219,32.,Carrie Allen,1992,,PA,61.80,110,115,-117.5,60,-65,-65,137.5,142.5,147.5,322.5,351.46,
Lauren Shortell,-63,lifters-view?id=4749,33.,Lauren Shortell,1991,,CT,62.00,95,102.5,-105,60,65,-67.5,135,145,152.5,320,347.87,
Danielle Ternet,-63,lifters-view?id=24269,13.,Danielle Ternet,1992,,IN,62.30,102.5,-120,-120,75,-82.5,82.5,125,135,-142.5,320,346.59,
