Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Ashley Bogan,-63,lifters-view?id=24271,2.,Ashley Bogan,1995,,MI,59.85,125,132.5,-137.5,65,70,-72.5,147.5,160,165,367.5,410.53,
Giovanna Ortega,-63,lifters-view?id=4208,3.,Giovanna Ortega,1994,,TX,61.38,122.5,127.5,132.5,62.5,67.5,72.5,142.5,150,155,360,394.38,
Megan Melendez,-63,lifters-view?id=30596,4.,Megan Melendez,1996,,FL,61.39,120,127.5,-132.5,60,65,67.5,145,150,155,350,383.39,
April Purvis,-63,lifters-view?id=25482,5.,April Purvis,1996,,NC,59.00,125,-132.5,132.5,62.5,67.5,-72.5,145,-155,-155,345,389.68,
Lauren Center,-63,lifters-view?id=33119,6.,Lauren Center,1995,Bell Power Systems,TX,60.08,-117.5,-117.5,117.5,65,-72.5,-72.5,155,162.5,-167.5,345,384.23,
Perrish Dragovits,-63,lifters-view?id=12423,7.,Perrish Dragovits,1995,,MS,61.26,115,122.5,127.5,57.5,62.5,-67.5,142.5,-155,155,345,378.53,
Joey Lee,-63,lifters-view?id=26589,8.,Joey Lee,1994,,CA,62.31,105,110,115,55,57.5,60,150,157.5,165,340,368.22,
VALERIE WILKINS,-63,lifters-view?id=6977,9.,VALERIE WILKINS,1993,,CO,59.39,122.5,130,135,60,62.5,65,127.5,137.5,-147.5,337.5,379.28,
Caitlyn Buck,-63,lifters-view?id=6572,10.,Caitlyn Buck,1994,,TX,61.83,105,112.5,-115,65,70,-72.5,145,155,-160,337.5,367.67,
Lauren Parrinello,-63,lifters-view?id=30314,11.,Lauren Parrinello,1992,,MD,62.16,105,110,-115,67.5,70,72.5,142.5,150,155,337.5,366.19,
Rosalie Hutson,-63,lifters-view?id=23783,12.,Rosalie Hutson,1995,,PA,62.54,112.5,120,125,52.5,57.5,-60,137.5,147.5,155,337.5,364.47,
Lisa Coligan,-63,lifters-view?id=28066,13.,Lisa Coligan,1994,,TX,62.85,107.5,120,-125,62.5,67.5,-72.5,137.5,142.5,145,332.5,357.74,
Montana Meleney,-63,lifters-view?id=30595,47.,Montana Meleney,1993,,FL,61.76,110,-115,-117.5,62.5,67.5,70,140,145,150,330,359.80,
Sydney Shade,-63,lifters-view?id=16918,15.,Sydney Shade,1996,,PA,62.52,112.5,117.5,122.5,70,75,77.5,125,130,-132.5,330,356.47,
Hope McAfee,-63,lifters-view?id=17567,16.,Hope McAfee,1995,,TX,61.49,110,120,125,55,60,-62.5,125,135,142.5,327.5,358.29,
Renee Frohnert,-63,lifters-view?id=3014,17.,Renee Frohnert,1993,,PA,62.97,90,95,100,62.5,65,67.5,105,112.5,-120,280,300.80,
Brianna Schneider,-63,lifters-view?id=28282,18.,Brianna Schneider,1995,,OH,62.52,80,90,-100,50,-55,-55,105,120,-127.5,260,280.85,
Lyndsay Rathbun,-63,lifters-view?id=14993,19.,Lyndsay Rathbun,1993,,PA,61.61,92.5,97.5,-102.5,45,-47.5,-47.5,100,107.5,112.5,255,278.56,
Adelaide Hurlbert,-63,lifters-view?id=31475,20.,Adelaide Hurlbert,1993,,NY,61.77,75,82.5,87.5,52.5,57.5,-60,102.5,107.5,110,255,278.00,
Ariella Wagner,-63,lifters-view?id=30167,21.,Ariella Wagner,1994,,NY,62.11,75,80,82.5,42.5,47.5,52.5,75,82.5,87.5,222.5,241.55,
Olivia Wible,-63,lifters-view?id=25686,22.,Olivia Wible,1995,,AZ,59.00,,,,,,,,,,0,0.00,
Diana Hernandez-Avalos,-72,lifters-view?id=23121,6.,Diana Hernandez-Avalos,1994,,CA,71.75,170,-180,-180,85,-90,-90,170,177.5,185,440,430.45,
Ellen Liverpool,-72,lifters-view?id=26214,7.,Ellen Liverpool,1993,,DC,71.05,157.5,167.5,-175,67.5,72.5,77.5,172.5,182.5,192.5,437.5,430.85,
Rosemary Squillace,-72,lifters-view?id=26390,8.,Rosemary Squillace,1992,,SD,69.08,142.5,152.5,155,92.5,97.5,-102.5,165,-172.5,175,427.5,429.21,
Julie Brookfield,-72,lifters-view?id=26590,9.,Julie Brookfield,1993,,CA,71.55,147.5,157.5,-162.5,80,85,87.5,172.5,182.5,-195,427.5,418.99,
Gina Hensley,-72,lifters-view?id=2175,12.,Gina Hensley,1995,,MI,70.89,142.5,150,155,77.5,80,82.5,165,172.5,175,412.5,406.85,
Taylor Carney,-72,lifters-view?id=31207,13.,Taylor Carney,1993,Team Carolina,NC,70.80,152.5,160,-165,82.5,85,-87.5,165,-172.5,-172.5,410,404.71,
Lindsey Raker,-72,lifters-view?id=15485,7.,Lindsey Raker,1995,,IN,71.32,122.5,130,-145,72.5,80,-82.5,165,175,180,390,383.10,
Audrey Carpenter,-72,lifters-view?id=25187,23.,Audrey Carpenter,1993,,VA,70.68,140,-150,-150,65,70,-75,162.5,170,-177.5,380,375.55,
Hannah Kleman,-72,lifters-view?id=17138,9.,Hannah Kleman,1994,,OH,63.48,-110,-110,110,72.5,80,85,170,177.5,182.5,377.5,403.09,
Maria Capuano,-72,lifters-view?id=33401,10.,Maria Capuano,1992,,RI,70.11,135,142.5,145,72.5,75,77.5,147.5,155,-165,377.5,375.16,
Kayla Ferber,-72,lifters-view?id=2534,28.,Kayla Ferber,1994,,OH,69.30,112.5,120,122.5,75,80,-85,155,165,170,372.5,373.17,
Mary Fleckenstein,-72,lifters-view?id=23695,12.,Mary Fleckenstein,1996,,NY,66.35,125,132.5,-137.5,62.5,65,70,127.5,135,145,347.5,359.11,
Alyssa Brown,-72,lifters-view?id=10373,14.,Alyssa Brown,1994,,GA,64.74,132.5,142.5,147.5,62.5,67.5,70,115,120,-127.5,337.5,355.12,
KODI HUMPHREY,-72,lifters-view?id=26047,15.,KODI HUMPHREY,1995,,MI,70.39,117.5,125,132.5,60,62.5,65,125,132.5,140,337.5,334.50,
Darian Royse,-72,lifters-view?id=9928,16.,Darian Royse,1993,,SC,69.10,-92.5,95,105,67.5,72.5,-75,132.5,142.5,147.5,325,326.24,
